Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
29/05/2014;0;887.233.333;7.379.167;26.8;18.65;11.1;53.041.667;21;7.3;1.866.667
30/05/2014;0;887.979.167;8.245.833;25.7;18.479.167;11.7;53.875;30;6.7;1.604.167
31/05/2014;0;887.745.833;13.441.667;26;19.270.833;13.9;70.708.333;43;8.2;23.125
01/06/2014;0;886.441.667;13.75;27.4;20.220.833;14.1;70.083.333;34;6.2;15.125
02/06/2014;0;884.883.333;13.245.833;25.2;20.470.833;16.3;64.625;41;7.5;1.783.333
03/06/2014;0;885.416.667;14.775;25.1;19.083.333;15;77.75;51;7.2;1.2
04/06/2014;7.4;886.175;15.595.833;26.5;19.120.833;14;82.375;49;6.8;.883333
05/06/2014;0;886.475;15.383.333;26.6;20.179.167;14.5;76.666.667;40;5.3;1.270.833
06/06/2014;.2;886.104.167;13.979.167;27.1;20.520.833;14.5;69.625;35;5.6;.920833
07/06/2014;0;885.95;11.995.833;26.5;207.625;14.7;59.458.333;36;6;1.275
08/06/2014;0;887.304.167;10.766.667;25.8;20.479.167;13.7;55.791.667;34;5.4;1.404.167
09/06/2014;0;889.7;9.866.667;26.1;20.654.167;14.8;51.916.667;30;7.6;1.945.833
10/06/2014;0;8.899.125;11.808.333;25.1;198.625;15;60.833.333;43;8.6;2.566.667
11/06/2014;0;890.166.667;11.791.667;24.7;19.391.667;14.9;62.5;42;9.5;3.308.333
12/06/2014;0;890.333.333;12.083.333;24.6;18.875;14.2;66.583.333;41;7.9;2.591.667
13/06/2014;0;8.911.625;133.875;23.8;184.875;15;73.291.667;48;8.9;2.354.167
14/06/2014;0;890.841.667;13.370.833;24.2;18.941.667;14.7;71.416.667;46;6.8;2.25
15/06/2014;0;890.420.833;13.741.667;24.3;18.166.667;14.4;76.875;49;8.6;2.491.667
16/06/2014;0;890.545.833;12.933.333;25.4;19.341.667;15.2;68.166.667;41;8.9;2.625
17/06/2014;0;890.954.167;13.283.333;24.8;19.425;15.1;69.208.333;46;7.7;2.345.833
18/06/2014;0;891.383.333;13.366.667;24;19.779.167;16.7;67.125;52;4.7;1.420.833
19/06/2014;0;891.445.833;12.783.333;26.1;20.854.167;14.6;62.25;35;5.3;1.308.333
20/06/2014;0;890.158.333;11.616.667;25.8;19.454.167;14.6;63.291.667;32;7.1;1.425
21/06/2014;0;890.05;10.391.667;25.5;19.475;12.6;57.916.667;31;6.1;1.625
22/06/2014;0;890.466.667;9.725;24.2;18.766.667;14;56.916.667;34;8;2.429.167
23/06/2014;0;891.15;12.479.167;22.4;17.658.333;14.3;72.583.333;54;9.4;2.533.333
24/06/2014;0;890.933.333;11.745.833;24.4;18.320.833;13.2;68.375;37;6.5;17.375
25/06/2014;0;888.504.167;99.625;26.2;19.179.167;11.2;58.25;31;5.7;1.391.667
26/06/2014;0;888.295.833;9.654.167;25.5;185.125;11.1;59.25;33;6.6;1.395.833
27/06/2014;0;889.058.333;8.295.833;26.1;19.354.167;10.9;52.458.333;28;7.1;1.633.333
28/06/2014;0;890.254.167;8.554.167;26.5;18.979.167;11.1;53.75;30;5;10.625
29/06/2014;0;889.545.833;82.375;27.6;19.354.167;11.9;51.583.333;27;4.9;.891667
30/06/2014;0;888.483.333;9.658.333;26.1;19.116.667;11.9;56.75;31;6.5;1.058.333
01/07/2014;0;888.216.667;98.875;27.1;19.695.833;12.4;56.041.667;29;4.9;.991667
02/07/2014;0;889.2;9.625;27.6;20.591.667;13;53.125;28;5.8;1.191.667
03/07/2014;0;890.945.833;7.75;27;21.095.833;14.1;44.375;26;8.9;2.208.333
04/07/2014;0;891.320.833;5.941.667;25.9;20.429.167;16.6;40.333.333;23;9.6;2.575
05/07/2014;0;8.902.375;6.625;24.8;19.15;13.7;45.458.333;26;8;2.370.833
06/07/2014;0;891.216.667;82.875;25.1;18.345.833;10.8;54.166.667;29;6.3;1.591.667
07/07/2014;0;8.919.125;8.883.333;24.9;19.579.167;14.3;51.375;31;7.7;2.266.667
08/07/2014;0;891.766.667;8.975;24.5;19.483.333;16.4;51.416.667;30;6.6;1.916.667
09/07/2014;0;890.258.333;10.004.167;24.5;18.358.333;12.3;60.25;35;7.3;1.204.167
10/07/2014;0;8.894.375;10.575;26.8;18.966.667;11.9;61.875;30;4.6;.945833
11/07/2014;0;889.208.333;10.4;26;19.508.333;14.3;57.541.667;32;5.9;1.35
12/07/2014;0;890.629.167;10.154.167;25.5;19.495.833;13.7;57.375;30;6.4;1.329.167
13/07/2014;0;892.195.833;10.191.667;25;19.266.667;15;57.375;34;8.8;2.316.667
14/07/2014;0;891.55;9.375;24.1;18.354.167;13.3;57.583.333;34;6.9;2.083.333
15/07/2014;0;8.912.625;9.075;24.5;18.141.667;12;57.375;36;6.3;1.966.667
16/07/2014;0;891.745.833;88.125;26;18.404.167;10.6;56.125;31;7.5;1.633.333
17/07/2014;0;892.241.667;9.154.167;26;19.35;12.3;54.625;28;7.1;1.366.667
18/07/2014;0;891.758.333;7.216.667;27.5;19.958.333;11.5;47.333.333;20;8.1;10.875
19/07/2014;0;890.845.833;8.970.833;26.3;19.341.667;13.3;54.208.333;25;6.1;1.408.333
20/07/2014;0;890.525;10.083.333;26.7;20.145.833;15.1;55.125;26;9.2;1.979.167
21/07/2014;6.2;890.104.167;10.666.667;26.7;20.170.833;13.5;56.833.333;32;8.5;2.429.167
22/07/2014;0;8.907.375;10.125;26;19.895.833;14.9;54.541.667;32;8.8;3.475
23/07/2014;0;890.241.667;10.454.167;24.9;19.379.167;14.5;57.041.667;41;8.5;3.079.167
24/07/2014;0;888.754.167;11.083.333;26.8;20.45;15.5;56.708.333;33;9.8;25.875
25/07/2014;0;889.691.667;130.375;21.2;17.533.333;16.2;75.625;59;8;2.075
26/07/2014;0;890.170.833;11.666.667;23.8;16.9;13.4;72.458.333;49;8.2;2.725
27/07/2014;0;891.975;12.520.833;19.7;14.875;12.7;86.458.333;63;10.8;2.841.667
28/07/2014;.8;893.079.167;12.345.833;21.4;15.795.833;11.4;81.5;57;7.5;2.116.667
29/07/2014;0;892.679.167;12.858.333;25.5;18.825;14.1;71.708.333;39;8.9;2.85
30/07/2014;0;891.870.833;111.125;25.3;18.833.333;14.1;63.916.667;31;8.1;28.375
31/07/2014;0;890.308.333;9.375;25.8;192.875;13.5;55.666.667;28;6.8;2.208.333
01/08/2014;0;889.866.667;9.008.333;26.2;20.333.333;14.3;49.541.667;30;6.9;1.554.167
02/08/2014;0;889.7;9.95;26.7;19.904.167;13.5;55.291.667;28;6.7;1
03/08/2014;0;888.295.833;9.291.667;28.9;20.695.833;13.5;51.5;24;6.8;11.875
04/08/2014;0;889.15;7.891.667;28.9;21.775;15.5;43.291.667;24;5.1;.9875
05/08/2014;0;890.179.167;6.570.833;29.2;21.9;13.5;40.5;18;8.6;17.875
06/08/2014;0;890.291.667;6.554.167;26.8;210.875;16.4;39.833.333;26;9.4;2.716.667
07/08/2014;0;891.55;8;24.2;187.125;13.5;51.208.333;30;9.5;29.875
08/08/2014;0;890.895.833;36.875;25.5;183.625;10.9;42;16;7.8;2.083.333
09/08/2014;0;889.75;2.708.333;25.4;18.270.833;10.2;36.541.667;23;6.8;1.85
10/08/2014;0;889.35;4.575;26.3;19.070.833;13;39.375;25;7.3;1.991.667
11/08/2014;0;889.695.833;56.875;27.5;198.875;10.3;43.625;21;5.3;1.291.667
12/08/2014;0;8.896.125;4.991.667;27.8;20.845.833;12.5;38.291.667;18;6.7;13.375
13/08/2014;0;889.204.167;4.745.833;29.1;207.875;12.5;38.333.333;19;8;11.375
14/08/2014;0;8.894.625;4.879.167;28.1;21.483.333;14.3;35.375;21;11;2.295.833
15/08/2014;0;8.921.375;6.508.333;25.5;19.866.667;14.5;42.958.333;28;12.2;4.108.333
16/08/2014;0;892.883.333;9.583.333;24.6;18.391.667;13.6;59.875;31;10.7;4.308.333
17/08/2014;0;891.883.333;7.991.667;25.9;19.65;15.4;50.458.333;24;11;33.625
18/08/2014;0;890.2;80.625;26.6;201.375;13.9;47.666.667;27;9.1;2.95
19/08/2014;0;889.391.667;8.195.833;27.6;21.029.167;14;45.375;27;9.8;2.458.333
20/08/2014;0;889.829.167;8.116.667;27.6;21.354.167;15.6;44.583.333;26;10.3;3.004.167
21/08/2014;0;890.275;6.758.333;26.3;20.891.667;15.8;41.166.667;26;11.1;3.379.167
22/08/2014;0;889.533.333;6;28;21.358.333;13.7;39.208.333;21;8.1;2.508.333
23/08/2014;0;888.033.333;3.883.333;27.9;21.808.333;13.6;33.166.667;17;9.7;2.808.333
24/08/2014;0;887.308.333;25.375;28.1;21.704.167;12.5;29.583.333;18;9.2;2.683.333
25/08/2014;0;887.575;5.175;29.2;222.375;13.3;34.541.667;21;7.1;2.166.667
26/08/2014;0;887.245.833;6.616.667;30.9;230.625;15;37.708.333;18;7;1.854.167
27/08/2014;0;887.025;59.625;30.9;24.008.333;16.7;33.5;16;6.9;1.954.167
28/08/2014;0;887.120.833;4.995.833;31.6;23.591.667;16.6;32.083.333;17;7.9;13.875
29/08/2014;0;888.104.167;7.55;31.1;243.875;18.3;35.958.333;20;8.9;1.766.667
30/08/2014;0;8.886.375;73.875;31.3;24.933.333;18;34.208.333;18;8;2.4
31/08/2014;0;888.241.667;86.875;30.7;24.729.167;17.5;37.208.333;22;8.5;2.229.167
01/09/2014;0;887.079.167;10.375;29.9;25.395.833;19.6;39.875;28;9.1;2.141.667
02/09/2014;0;886.783.333;11.720.833;30.9;24.279.167;18.2;48.583.333;24;9;2.104.167
03/09/2014;0;887.441.667;14.383.333;30.5;21.3;18.8;67.166.667;36;12.5;2.320.833
04/09/2014;14.4;887.720.833;139.625;29.2;22.075;15.9;64.416.667;32;8.3;2.108.333
05/09/2014;0;888.008.333;12.820.833;29.7;23.466.667;18.8;52.291.667;34;10;3.85
06/09/2014;0;889.529.167;94.125;26.4;20.495.833;14.6;50.916.667;29;10.9;3.975
07/09/2014;0;890.104.167;4.570.833;26.4;19.970.833;14.2;37.541.667;22;9.5;3.866.667
08/09/2014;0;890.245.833;5.729.167;26.4;20.041.667;14.1;41.291.667;21;9;3.541.667
09/09/2014;0;888.841.667;6.379.167;28.5;21.354.167;15.1;39.458.333;22;8.3;3.125
10/09/2014;0;887.741.667;6.941.667;29.1;22.995.833;17.3;36.916.667;16;9.7;3.095.833
11/09/2014;0;887.404.167;6.441.667;29.3;23.491.667;17.9;35.25;17;8.8;3.183.333
12/09/2014;0;8.868.375;3.366.667;29.4;23.316.667;17.2;29.875;13;9.6;3.5
13/09/2014;0;8.877.875;5.804.167;29.7;232.125;17.6;33.291.667;21;8.8;3.133.333
14/09/2014;0;888.325;78.125;30.2;24.170.833;18.8;36.708.333;20;8.4;2.875
15/09/2014;0;887.708.333;6.966.667;31.1;24.141.667;16.2;34.875;21;8.8;2.379.167
16/09/2014;0;886.575;7.266.667;31.4;24.733.333;17.1;34.208.333;21;7.5;17.375
17/09/2014;0;886.658.333;7.079.167;33.3;26.341.667;20.2;32.416.667;14;10.5;2.066.667
18/09/2014;0;886.825;6.904.167;32.3;26.616.667;20.7;29.541.667;17;9.5;3.375
19/09/2014;0;8.864.125;4.295.833;31.6;25.741.667;20.1;26.625;14;13.9;2.845.833
20/09/2014;0;886.833.333;4.691.667;31.4;24.033.333;16.4;29.666.667;19;6.5;1.429.167
21/09/2014;0;886.795.833;111.875;30.7;23.916.667;18.1;48.75;23;9.1;2.3
22/09/2014;0;886.820.833;13.658.333;30.5;23.475;18.9;56.25;29;9.2;26.875
23/09/2014;0;887.270.833;13.458.333;29.9;24.104.167;19.1;53.125;32;11.4;38.375
24/09/2014;0;887.9;11.908.333;30.8;23.841.667;19.3;48.25;28;8.9;3.15
25/09/2014;0;887.825;12.958.333;30.9;234.625;17.3;55.5;25;7.2;1.733.333
26/09/2014;0;886.566.667;11.516.667;31.5;24.754.167;17.7;47.75;23;7.9;1.75
27/09/2014;0;887.241.667;12.808.333;31.1;257.125;21;46.958.333;27;7;1.941.667
28/09/2014;0;8.872.375;9.275;32.2;26.05;18.6;37.875;19;8.4;2.354.167
29/09/2014;0;887.116.667;8.454.167;32.6;26.733.333;18.6;32.916.667;21;8.9;2.4
30/09/2014;0;887.416.667;14.845.833;30.5;24.383.333;19.7;56.75;31;11;2.204.167
01/10/2014;.2;887.266.667;14.7;33;22.854.167;18;64.083.333;24;26.4;18.875
