Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
07/06/2014;0;885,95;11,995833;26,5;20,7625;14,7;59,458333;36;6;1,275
08/06/2014;0;887,304167;10,766667;25,8;20,479167;13,7;55,791667;34;5,4;1,404167
09/06/2014;0;889,7;9,866667;26,1;20,654167;14,8;51,916667;30;7,6;1,945833
10/06/2014;0;889,9125;11,808333;25,1;19,8625;15;60,833333;43;8,6;2,566667
11/06/2014;0;890,166667;11,791667;24,7;19,391667;14,9;62,5;42;9,5;3,308333
12/06/2014;0;890,333333;12,083333;24,6;18,875;14,2;66,583333;41;7,9;2,591667
13/06/2014;0;891,1625;13,3875;23,8;18,4875;15;73,291667;48;8,9;2,354167
14/06/2014;0;890,841667;13,370833;24,2;18,941667;14,7;71,416667;46;6,8;2,25
15/06/2014;0;890,420833;13,741667;24,3;18,166667;14,4;76,875;49;8,6;2,491667
16/06/2014;0;890,545833;12,933333;25,4;19,341667;15,2;68,166667;41;8,9;2,625
17/06/2014;0;890,954167;13,283333;24,8;19,425;15,1;69,208333;46;7,7;2,345833
18/06/2014;0;891,383333;13,366667;24;19,779167;16,7;67,125;52;4,7;1,420833
19/06/2014;0;891,445833;12,783333;26,1;20,854167;14,6;62,25;35;5,3;1,308333
20/06/2014;0;890,158333;11,616667;25,8;19,454167;14,6;63,291667;32;7,1;1,425
21/06/2014;0;890,05;10,391667;25,5;19,475;12,6;57,916667;31;6,1;1,625
22/06/2014;0;890,466667;9,725;24,2;18,766667;14;56,916667;34;8;2,429167
23/06/2014;0;891,15;12,479167;22,4;17,658333;14,3;72,583333;54;9,4;2,533333
24/06/2014;0;890,933333;11,745833;24,4;18,320833;13,2;68,375;37;6,5;1,7375
25/06/2014;0;888,504167;9,9625;26,2;19,179167;11,2;58,25;31;5,7;1,391667
26/06/2014;0;888,295833;9,654167;25,5;18,5125;11,1;59,25;33;6,6;1,395833
27/06/2014;0;889,058333;8,295833;26,1;19,354167;10,9;52,458333;28;7,1;1,633333
28/06/2014;0;890,254167;8,554167;26,5;18,979167;11,1;53,75;30;5;1,0625
29/06/2014;0;889,545833;8,2375;27,6;19,354167;11,9;51,583333;27;4,9;0,891667
30/06/2014;0;888,483333;9,658333;26,1;19,116667;11,9;56,75;31;6,5;1,058333
01/07/2014;0;888,216667;9,8875;27,1;19,695833;12,4;56,041667;29;4,9;0,991667
02/07/2014;0;889,2;9,625;27,6;20,591667;13;53,125;28;5,8;1,191667
03/07/2014;0;890,945833;7,75;27;21,095833;14,1;44,375;26;8,9;2,208333
04/07/2014;0;891,320833;5,941667;25,9;20,429167;16,6;40,333333;23;9,6;2,575
05/07/2014;0;890,2375;6,625;24,8;19,15;13,7;45,458333;26;8;2,370833
06/07/2014;0;891,216667;8,2875;25,1;18,345833;10,8;54,166667;29;6,3;1,591667
07/07/2014;0;891,9125;8,883333;24,9;19,579167;14,3;51,375;31;7,7;2,266667
08/07/2014;0;891,766667;8,975;24,5;19,483333;16,4;51,416667;30;6,6;1,916667
09/07/2014;0;890,258333;10,004167;24,5;18,358333;12,3;60,25;35;7,3;1,204167
10/07/2014;0;889,4375;10,575;26,8;18,966667;11,9;61,875;30;4,6;0,945833
11/07/2014;0;889,208333;10,4;26;19,508333;14,3;57,541667;32;5,9;1,35
12/07/2014;0;890,629167;10,154167;25,5;19,495833;13,7;57,375;30;6,4;1,329167
13/07/2014;0;892,195833;10,191667;25;19,266667;15;57,375;34;8,8;2,316667
14/07/2014;0;891,55;9,375;24,1;18,354167;13,3;57,583333;34;6,9;2,083333
15/07/2014;0;891,2625;9,075;24,5;18,141667;12;57,375;36;6,3;1,966667
16/07/2014;0;891,745833;8,8125;26;18,404167;10,6;56,125;31;7,5;1,633333
17/07/2014;0;892,241667;9,154167;26;19,35;12,3;54,625;28;7,1;1,366667
18/07/2014;0;891,758333;7,216667;27,5;19,958333;11,5;47,333333;20;8,1;1,0875
19/07/2014;0;890,845833;8,970833;26,3;19,341667;13,3;54,208333;25;6,1;1,408333
20/07/2014;0;890,525;10,083333;26,7;20,145833;15,1;55,125;26;9,2;1,979167
21/07/2014;6,2;890,104167;10,666667;26,7;20,170833;13,5;56,833333;32;8,5;2,429167
22/07/2014;0;890,7375;10,125;26;19,895833;14,9;54,541667;32;8,8;3,475
23/07/2014;0;890,241667;10,454167;24,9;19,379167;14,5;57,041667;41;8,5;3,079167
24/07/2014;0;888,754167;11,083333;26,8;20,45;15,5;56,708333;33;9,8;2,5875
25/07/2014;0;889,691667;13,0375;21,2;17,533333;16,2;75,625;59;8;2,075
26/07/2014;0;890,170833;11,666667;23,8;16,9;13,4;72,458333;49;8,2;2,725
27/07/2014;0;891,975;12,520833;19,7;14,875;12,7;86,458333;63;10,8;2,841667
28/07/2014;0,8;893,079167;12,345833;21,4;15,795833;11,4;81,5;57;7,5;2,116667
29/07/2014;0;892,679167;12,858333;25,5;18,825;14,1;71,708333;39;8,9;2,85
30/07/2014;0;891,870833;11,1125;25,3;18,833333;14,1;63,916667;31;8,1;2,8375
31/07/2014;0;890,308333;9,375;25,8;19,2875;13,5;55,666667;28;6,8;2,208333
01/08/2014;0;889,866667;9,008333;26,2;20,333333;14,3;49,541667;30;6,9;1,554167
02/08/2014;0;889,7;9,95;26,7;19,904167;13,5;55,291667;28;6,7;1
03/08/2014;0;888,295833;9,291667;28,9;20,695833;13,5;51,5;24;6,8;1,1875
04/08/2014;0;889,15;7,891667;28,9;21,775;15,5;43,291667;24;5,1;0,9875
05/08/2014;0;890,179167;6,570833;29,2;21,9;13,5;40,5;18;8,6;1,7875
06/08/2014;0;890,291667;6,554167;26,8;21,0875;16,4;39,833333;26;9,4;2,716667
07/08/2014;0;891,55;8;24,2;18,7125;13,5;51,208333;30;9,5;2,9875
08/08/2014;0;890,895833;3,6875;25,5;18,3625;10,9;42;16;7,8;2,083333
09/08/2014;0;889,75;2,708333;25,4;18,270833;10,2;36,541667;23;6,8;1,85
10/08/2014;0;889,35;4,575;26,3;19,070833;13;39,375;25;7,3;1,991667
11/08/2014;0;889,695833;5,6875;27,5;19,8875;10,3;43,625;21;5,3;1,291667
12/08/2014;0;889,6125;4,991667;27,8;20,845833;12,5;38,291667;18;6,7;1,3375
13/08/2014;0;889,204167;4,745833;29,1;20,7875;12,5;38,333333;19;8;1,1375
14/08/2014;0;889,4625;4,879167;28,1;21,483333;14,3;35,375;21;11;2,295833
15/08/2014;0;892,1375;6,508333;25,5;19,866667;14,5;42,958333;28;12,2;4,108333
16/08/2014;0;892,883333;9,583333;24,6;18,391667;13,6;59,875;31;10,7;4,308333
17/08/2014;0;891,883333;7,991667;25,9;19,65;15,4;50,458333;24;11;3,3625
18/08/2014;0;890,2;8,0625;26,6;20,1375;13,9;47,666667;27;9,1;2,95
19/08/2014;0;889,391667;8,195833;27,6;21,029167;14;45,375;27;9,8;2,458333
20/08/2014;0;889,829167;8,116667;27,6;21,354167;15,6;44,583333;26;10,3;3,004167
21/08/2014;0;890,275;6,758333;26,3;20,891667;15,8;41,166667;26;11,1;3,379167
22/08/2014;0;889,533333;6;28;21,358333;13,7;39,208333;21;8,1;2,508333
23/08/2014;0;888,033333;3,883333;27,9;21,808333;13,6;33,166667;17;9,7;2,808333
24/08/2014;0;887,308333;2,5375;28,1;21,704167;12,5;29,583333;18;9,2;2,683333
25/08/2014;0;887,575;5,175;29,2;22,2375;13,3;34,541667;21;7,1;2,166667
26/08/2014;0;887,245833;6,616667;30,9;23,0625;15;37,708333;18;7;1,854167
27/08/2014;0;887,025;5,9625;30,9;24,008333;16,7;33,5;16;6,9;1,954167
28/08/2014;0;887,120833;4,995833;31,6;23,591667;16,6;32,083333;17;7,9;1,3875
29/08/2014;0;888,104167;7,55;31,1;24,3875;18,3;35,958333;20;8,9;1,766667
30/08/2014;0;888,6375;7,3875;31,3;24,933333;18;34,208333;18;8;2,4
31/08/2014;0;888,241667;8,6875;30,7;24,729167;17,5;37,208333;22;8,5;2,229167
01/09/2014;0;887,079167;10,375;29,9;25,395833;19,6;39,875;28;9,1;2,141667
02/09/2014;0;886,783333;11,720833;30,9;24,279167;18,2;48,583333;24;9;2,104167
03/09/2014;0;887,441667;14,383333;30,5;21,3;18,8;67,166667;36;12,5;2,320833
04/09/2014;14,4;887,720833;13,9625;29,2;22,075;15,9;64,416667;32;8,3;2,108333
05/09/2014;0;888,008333;12,820833;29,7;23,466667;18,8;52,291667;34;10;3,85
06/09/2014;0;889,529167;9,4125;26,4;20,495833;14,6;50,916667;29;10,9;3,975
07/09/2014;0;890,104167;4,570833;26,4;19,970833;14,2;37,541667;22;9,5;3,866667
08/09/2014;0;890,245833;5,729167;26,4;20,041667;14,1;41,291667;21;9;3,541667
09/09/2014;0;888,841667;6,379167;28,5;21,354167;15,1;39,458333;22;8,3;3,125
10/09/2014;0;887,741667;6,941667;29,1;22,995833;17,3;36,916667;16;9,7;3,095833
11/09/2014;0;887,404167;6,441667;29,3;23,491667;17,9;35,25;17;8,8;3,183333
12/09/2014;0;886,8375;3,366667;29,4;23,316667;17,2;29,875;13;9,6;3,5
13/09/2014;0;887,7875;5,804167;29,7;23,2125;17,6;33,291667;21;8,8;3,133333
14/09/2014;0;888,325;7,8125;30,2;24,170833;18,8;36,708333;20;8,4;2,875
15/09/2014;0;887,708333;6,966667;31,1;24,141667;16,2;34,875;21;8,8;2,379167
16/09/2014;0;886,575;7,266667;31,4;24,733333;17,1;34,208333;21;7,5;1,7375
17/09/2014;0;886,658333;7,079167;33,3;26,341667;20,2;32,416667;14;10,5;2,066667
18/09/2014;0;886,825;6,904167;32,3;26,616667;20,7;29,541667;17;9,5;3,375
19/09/2014;0;886,4125;4,295833;31,6;25,741667;20,1;26,625;14;13,9;2,845833
20/09/2014;0;886,833333;4,691667;31,4;24,033333;16,4;29,666667;19;6,5;1,429167
21/09/2014;0;886,795833;11,1875;30,7;23,916667;18,1;48,75;23;9,1;2,3
22/09/2014;0;886,820833;13,658333;30,5;23,475;18,9;56,25;29;9,2;2,6875
23/09/2014;0;887,270833;13,458333;29,9;24,104167;19,1;53,125;32;11,4;3,8375
24/09/2014;0;887,9;11,908333;30,8;23,841667;19,3;48,25;28;8,9;3,15
25/09/2014;0;887,825;12,958333;30,9;23,4625;17,3;55,5;25;7,2;1,733333
26/09/2014;0;886,566667;11,516667;31,5;24,754167;17,7;47,75;23;7,9;1,75
27/09/2014;0;887,241667;12,808333;31,1;25,7125;21;46,958333;27;7;1,941667
28/09/2014;0;887,2375;9,275;32,2;26,05;18,6;37,875;19;8,4;2,354167
29/09/2014;0;887,116667;8,454167;32,6;26,733333;18,6;32,916667;21;8,9;2,4
30/09/2014;0;887,416667;14,845833;30,5;24,383333;19,7;56,75;31;11;2,204167
01/10/2014;0,2;887,266667;14,7;33;22,854167;18;64,083333;24;26,4;1,8875
02/10/2014;33,2;887,095833;15,716667;31,2;22,804167;17,1;68,291667;32;14,5;2,625
03/10/2014;1,2;888,4375;12,841667;29,1;23,391667;19,3;54,458333;28;11,6;4,079167
04/10/2014;0;888,608333;8,895833;27,8;21,9375;17,1;44,291667;29;11,7;3,591667
05/10/2014;0;889,008333;6,804167;27,1;21,391667;15,7;40,583333;22;9,8;3,4875
06/10/2014;0;889,25;4,2125;26,5;20,354167;14,8;36,5;17;11;3,816667
07/10/2014;0;888,191667;3,825;27,8;20,716667;14,2;34,083333;21;8,7;2,808333
08/10/2014;0;886,383333;5,404167;29,3;22,975;14,8;33,25;20;7,7;2,116667
09/10/2014;0;885,55;6,170833;30,4;24,341667;19,3;31,666667;20;8,3;2,608333
10/10/2014;0;886,8375;6,891667;30,5;25,029167;19,9;32,25;19;8,7;3,2
11/10/2014;0;887,825;4,6125;31,2;25,570833;20,1;27,166667;15;10,1;3,233333
12/10/2014;0;887,8625;5,175;32;24,708333;16,4;29,791667;18;9,2;2,375
13/10/2014;0;887,779167;5,775;32,4;26,2125;19,3;28,458333;16;8,3;2,7
14/10/2014;0;887,933333;5,4375;32,9;26,9625;19,1;26,5;16;7,2;2,366667
15/10/2014;0;887,745833;3,054167;34,5;26,9875;18,4;23,708333;13;9,3;2,604167
16/10/2014;0;887,654167;3;33,5;27,295833;20,4;21,958333;12;9,1;2,6875
17/10/2014;0;887,183333;5,5375;33,4;26,679167;19,6;26,791667;18;7,8;2,291667
